Event,County,Date,Location,Deaths ,Injured ,Missing ,Houses Destroyed ,Houses Damaged ,Directly affected ,Indirectly Affected ,Relocated ,Evacuated ,Losses $USD ,Losses $Local ,Education centers ,Hospitals ,Damages in crops Ha. ,Lost Cattle ,Lost Goats,Lost Livestock,Damages in roads Mts ,GLIDEnumber ,Comments,Unique_ID,Unique_MA-DB,Comments_2
FLOOD, EMBU,14/07/2014, Kiruari village,2,, , , , , , , ,,, ,, ,,,, , ,Two drowned in a bore hole , ,,
FLOOD, NAIROBI,17/06/2016, Kamiti Prison,2,, , , , , , , ,,, ,, ,,,, , ,Bodies retrieved , ,,
FLOOD, BUSIA,17/06/2014, Shumba,2, , , , , , , , ,,, ,, ,,,,, ,canoe capsized due to heavy rains , ,,
FLOOD, KISUMU,25/06/2014, Lake Victoria,2, , , , , , , , ,,, , , ,,,,, ,Bodies were not retrieved , ,,
FLOOD, BUNGOMA,26/04/2013, Magina,3, , ,, , ,16, , ,,, ,, ,,,,, ,Heavy rainfall that causes mudslides and swept way railway and houses. , ,,
FLOOD, BUNGOMA,27/04/2013, Kibochi,1, , , , , , , , ,,, ,, ,,,, , ,Heavy rainfall that swept away one body. , ,,
FLOOD, NAROK,23/04/2013, Nkumari,1, , , , , , , , ,,, ,, ,,,, , ,Heavy rainfall that causes drowning of one body. , ,,
FLOOD, KIAMBU,20/04/2013, Kathulani,1, , , , , , , , ,,, ,, ,,,, , ,Heavy rainfall that causes overflow of dam and causes death of one girl due to drowning. , ,,
FLOOD, NAROK,23/04/2013, Nkumari,1, , , , , , , , ,,, ,, ,,,, , ,Heavy rainfall swept away one body. , ,,
FLOOD, NAROK,23/04/2013, Oloii,1, , , , , , , , ,,, ,, ,,,, , ,Heavy rainfall that swept away one body and left in the river bank. , ,,
FLOOD, BARINGO,15/04/2013, Mogotio,1, , , , , , , , ,,, ,, ,,,, , ,"Heavy rainfall that swept away one body, the person was trying to cross the river. ", ,,
FLOOD, BARINGO,22/04/2013, Kimailel,3, , , ,, , , , ,,, ,, ,,,, , ,There was heavy rainfall at the pert of the hills and cause flash floods down the hills and caught the children. , ,,
FLOOD, NAROK,23/04/2013, Enkare,1, , , , , , , , ,,, ,, ,,,, , ,"Heavy rainfall that swept away one body, the body was found floating in river Enkare. ", ,,
FLOOD, NAROK,24/04/2013, Nairage Ngare, , , ,, , ,100, , ,,,,, ,,,, , ,Heavy rainfall causing that swept away houses and Sintakara primary school. , ,,
FLOOD, NYANDARUA,22/04/2013, Kipipiri,1, , , ,, ,80, , ,,, ,,,,,, , ,"Heavy rainfall that caused mudslide that swept away soil , seedlings of maize, peas and potatoes. ", ,,
FLOOD, KISII,14/04/2013, Gucha South, , , ,, , ,1000, , ,,, ,,,,,, , ,heavy rainfall that causes destruction of houses. , ,,
FLOOD, KISII,14/04/2013, Gucha South, , , ,, , ,1000, , ,,, ,,,,,, , ,heavy rainfall that causes destruction of houses. , ,,
FLOOD, KEIYO-MARAKWET,14/04/2013, Sabriri,1, , ,, , , , , ,,, , , ,,,,, ,Heavy rainfall causing collapse bridge. , ,,
FLOOD, KISII,18/04/2013, Gucha,3, , , , , , , , ,,, ,, ,,,, , ,Heavy rainfall that swept away three bodies. , ,,
FLOOD, KISII,18/04/2013, Keumbu,3, , , ,, , , , ,,, ,, ,,,, , ,Heavy rainfall that caused lightening that struck a house. , ,,
FLOOD, NAROK,16/04/2013, Narok,2, , ,, , , , , ,,, ,, ,,,, , ,Heavy rainfall that causes destruction of houses. , ,,
FLOOD, GARISSA,18/04/2013, Garissa, , , , , , ,32000, ,10,,, ,,,,,, , ,Heavy rainfall that caused displacement of people and destruction of farms. , ,,
FLOOD, KILIFI,16/04/2013, kilifi,1, , , ,, , , , ,,, ,, ,,,, , ,Heavy rainfall that swept away one body. , ,,
FLOOD, TANA-RIVER,30/04/2013, Tana river, , , ,, , ,225, , ,,,,, ,,,,, ,Heavy rainfall that caused landslides in the location and blockage of roads. , ,,
FLOOD, TANA-RIVER,30/04/2013, Tana river North, , , ,, , ,584, , ,,,,, ,,,,, ,Heavy rainfall that caused landslides in the area. , ,,
FLOOD, KEIYO-MARAKWET,30/04/2013, Cheles, , , , , , , , , ,,, ,, ,,,,, ,Heavy rainfall that caused landslides that blocks Kapsowar- Chesoi road. , ,,
FLOOD, BOMET,29/04/2013, Liliaba,1, , , , , , , , ,,, ,, ,,,, , ,Heavy rainfall that swept away one body. , ,,
FLOOD, TURKANA,28/04/2013, Lodwar,1, , , , , , , , ,,, ,, ,,,, , ,Heavy rainfall that swept away one body. , ,,
FLOOD, NYANDARUA,16/04/2013, Nyandarua, ,3, ,, , , , , ,,, ,, ,,,, , ,Heavy rainfall that swept away three bodies and destroyed house. , ,,
FLOOD, NYANDARUA,16/04/2013, Nyahururu,1, , , , , , , , ,,, ,, ,,,, , ,heavy rain that caused Ewaso Nyiro burst and swept away one body. , ,,
FLOOD, NYANDARUA,15/04/2013, Nyandarua,1, , , ,, , , , ,,, ,, ,,,, , ,Heavy rainfall that swept away one body. , ,,
FLOOD, MANDERA,15/04/2013, Mandera,2, , , , , ,, , ,,, ,, ,,,, , ,heavy rainfall that swept away two bodies. , ,,
FLOOD, KEIYO-MARAKWET,15/05/2013, Elgeyo-marakwet.,2, ,1, , , , , , ,,, ,, ,,,, , ,Heavy rainfall that swept away two bodies. , ,,
FLOOD, KITUI,16/04/2013, kitui,1, , , , , , , , ,,, ,, ,,,, , ,heavy rainfall causing house collapse. , ,,
FLOOD, NAIROBI,16/04/2013, Adumai village,2,1, ,, , ,5, , ,,, ,, ,,,, , ,Heavy rainfall that caused house collapse and cause seriously injured. , ,,
FLOOD, MERU,2016/03/--, meru central,1, , , , , , , , ,,, ,, ,,,, , ,body found floating in river gathita , ,,
FLOOD, MIGORI,30/11/2015, Nyatike subcounty, , , , , , ,, , ,,, , , ,,,, , , , ,,
FLOOD, KAKAMEGA,27/11/2015, Kakamega, , , , , , ,, , ,,, , , ,,,, , , , ,,
FLOOD, BUNGOMA,27/11/2015, Bungoma,1, , , , , ,, , ,,, ,, ,,,, , , , ,,
FLOOD, NAROK,14/12/2015, Olulunga,1, , , , , , , , ,,, ,, ,,,, , ,ssept away while trying to cross stream , ,,
FLOOD, KERICHO,14/12/2015, Buret,1, , , , , , , , ,,, ,, ,,,, , ,drowning while swimming in river chemoit , ,,
FLOOD, TANA-RIVER,30/04/2013, Tana River District, , , , , , ,225, , ,,, ,, ,,,, , ,"Already intergrated, main raod is impassable and Hola Waldena bridge is broken ", ,,
FLOOD, TANA-RIVER,30/04/2013, Tana North District, , , , , , ,584, , ,,, , , ,,,, , ,Waiting for the situation to normalize and relief is being distributed.  , ,,
FLOOD, KEIYO-MARAKWET,30/04/2013, Cheles area Marakwet, , , , , , ,, , ,,, , , ,,,,, ,Heavy raina were received in that area causing landslide. One kilometer Kapsowar-chesoi road was blocked. , ,,
FLOOD, LAIKIPIA,28/04/2013, , , , , , , ,1, , ,,, ,, ,,,, , ,She was crossing the river when she was swept down stream , ,,
FLOOD, KISII,26/04/2013, Lari district Magina Location,3, , , , , , , , ,,, ,, ,,,, , ,Railway line and Road to Kijabe mission hospital was blocked by bolders caused by mud slide and debris.  , ,,
FLOOD, BUNGOMA,27/04/2013, Kibochi Village,1, , , , , , , , ,,, , , ,,,, , ,He was crossing the river Chwele when he was swept away , ,,
FLOOD, MACHAKOS,20/04/2013, Kathulani Sub location Matuu,1, , , , , , , , ,,,, , ,,,, , ,She went swimming with her two young sisters at a nearby dam when she drowned , ,,
FLOOD, KIAMBU,23/04/2013, Nkumari Sub location in Nkubu,1, , , , , , , , ,,, ,, ,,,, , ,A dead body was found floating on the river bank  , ,,
FLOOD, NAROK,23/02/2013, Oloii Area,1, , , , , , , , ,,, , , ,,,, , ,A dead body was found floating on the river bank , ,,
FLOOD, BARINGO,15/04/2013, Prkera River Mogotio District,1, , , , , , , , ,,, ,, ,,,, , ,This happened when the man tried to cross the river but overcome with ranging river. The body was retrieved 10 kilometres away alon the river. , ,,
FLOOD, BARINGO,22/04/2013, Kimailel village,3, , , , , ,, , ,,, ,, ,,,, , ,There was rain that hit the upper part of the hills leading to massive flash floods down hill which caught the children unaware. , ,,
FLOOD, GARISSA,18/04/2013, Garissa,18, , , , , ,, , ,,, ,,,,,, , ,Farms and people affected by floods. , ,,
FLOOD, KILIFI,16/04/2013, Margarini District,1, , , , , ,2000, , ,,, ,, ,,,, , ,People were displaced by floods. vessel capsized. , ,,
FLOOD, NYANDARUA,16/04/2013, Nyahururu,1, , , , , ,, , ,,, ,, ,,,, , ,Middle aged woman found floating in Ewaso Nyiro River. , ,,
FLOOD, NYANDARUA,15/04/2013, Nyandarua,1, , , , , ,, , ,,, ,, ,,,, , ,Swept away by raging water , ,,
FLOOD, MANDERA,15/04/2013, mandera,2, , , , , ,, , ,,, ,, ,,,, , ,swept away , ,,
FLOOD, UASIN-GISHU,15/04/2013, Timboroa-koibatek district, , , , , , ,, , ,,, ,, ,,,, , ,Due to a windy rain a roof of one class room in equator  , ,,
FLOOD, MURANGA,14/04/2013, Kairo lpocation, , , , , , ,, , ,,, ,, ,,,, , ,Flash floods swept away a house and two people managed to be rescued.  , ,,
FLOOD, VIHIGA,13/04/2013, Mulundu village,1, , , , , ,, , ,,, , , ,,,, , ,Deceased drowned at River Mugogo , ,,
FLOOD, MAKUENI,12/04/2013, Sultan Hamud,1, , , , , ,, , ,,, ,, ,,,, , ,A wman was swept away by river Muooni and he body recovered at Masimba 35kms away. , ,,
FLOOD, MACHAKOS,11/04/2013, Wamuyu location,1, , , , , ,, , ,,, ,, ,,,, , ,He went for a long call in the toilet and san. Body not yet retrieved. , ,,
FLOOD, MACHAKOS,11/04/2013, Muthetheni location,1, , , , , ,, , ,,, ,, ,,,, , ,He was going to work when he decided to cross Kyaimu seasonal river and was swept down te stream. , ,,
FLOOD, MIGORI,09/04/2013, Nyatike, , , ,195, , ,1572, , ,,, ,, ,,,, , ,Expecting reief from KRCS and special programmes. , ,,
FLOOD, NAKURU,10/04/2013, Mogotio,1, , , , , ,, , ,,, ,, ,,,, , ,One man was swept away by water and the body recovered. Taken to Elda ravine district mortuary hospital. , ,,
FLOOD, NAKURU,08/04/2013, Naivasha, , , , , , ,, , ,,, ,, ,,,, , ,Need urgent repair m/v to use alternative route , ,,
FLOOD, MURANGA,08/04/2013, Kendubay,1, , , , , ,215, , ,,, ,, ,,,, , ,Some of the affected people seeked refuge from relatives while others camped at Koura Secondary School. , ,,
FLOOD, MERU,02/12/2015, Igoji west division,1, , , , , ,, , ,,, ,, ,,,, , , , ,,
FLOOD, KEIYO-MARAKWET,03/04/2013, Elgeyo Marakwet,1, , , , , ,, , ,,, ,, ,,,, , , , ,,
FLOOD, THARAKA-NITHI,10/11/2015, Chuka, , , ,, , , , , ,,,,, ,,,,, ,1 pit latrine sunk at Ndagani within Chuka township and damaged 1 room in the hostel used by Chuka University students. Some roads in Chiakariga and [...] , ,,
FLOOD, NANDI,10/11/2015, Nandi east, , , , , , , , , ,,,,, ,,,, , ,2 toilets collapsed in Kokamei Primary school in Chepkunyuk Location , ,,
FLOOD, MERU,14/12/2015, Tigania,1, , , , , , , , ,,, ,, ,,,, , ,body found floating in river kamuraitha , ,,
FLOOD, MACHAKOS,14/12/2015, Emali,1, , , , , , , , ,,, ,, ,,,, , ,fel into 10feet underground water tank , ,,
FLOOD, NYANDARUA,14/12/2015, Haraka,1, , , , , , , , ,,, ,, ,,,, , ,one person dead , ,,
FLOOD, NAIROBI,13/12/2015, Nairobi,1, , , , , ,, , ,,, ,, ,,,, , ,Body yet to be retrieved , ,,
FLOOD, NAKURU,15/11/2015, Rongai, , , , , , ,,, ,,, ,, ,,,,, ,Burgei bridge was swept away. , ,,
