24-04-18,24-04-18,Riverine,Kiaoni (Makueni County),River Flood,None,150,,"Damaged river gauging telemetric station installed at Athi Kaoni site RGS 3F09, 3No gauge plates were also carried away, a number of shops and houses as well at the Kiaoni Shopping Centre were damaged.The left bank of the Kitui Kibwezi bridge was also compromised by the floods.",,,150 people,None,Bridge compromised,,,
03-01-18,26-04-18,Flood,Kajiado County(Kajiado South Sub County) ,"Rivers Rombo, Kimana, Nolturesh,Msangairo,Isinet",2,68836,6411,,Damage to roads. Cut off communication between Iltilal and Loitoktok,Ranging upto 0.5m,None,Yes but numbers not yet avaialble,Roads cut off,"23/4/2018 @ Olchooro 3GA07 0.224 m3/s, @ Loltulei 0.35m3/s","Loitokitok AP Line Station 2 March 2018-25.9mm,4&5 March 2018 33.5mm, 15 March 2018-35.08mm, 21 March 2018- 36.5mm- Total March 2018 -264.8 mm.Cummulative rainfall from1  April 2018 to date272.5mm",Not Existing
03-01-18,26-04-18,Flood,Taita Taveta County(Taveta Sub County),"Rivers Lumi, Flash Flood",2,13377,3482,"Flood Early Waning Systems(FEWS) are installed at 3 locations Challa, Rekeke and Darajani @3JA15. On 1st March 2018 there was heavy rain in the whole of Taveta that was registered in the 3 FEWS and the population downstream were warned of the same to take up mitigating measures. At Challa 40mm of rain was observed between 6 pm and 8.30 pm. At Rekeke on 3rd March 2018 35mm of rainfall was observed from 4.10 am whle at Darajani 3JA15 the FEWS was completely submerged  .The alarm is located on RGS from 1.5m to 3 m.The  Reading on the RGS 3JA15 for various dates are as follows 21st-25th April 2018 3.8 m, 1.9m, 0.9m, 2.7m and 0.60  m respectively. Any  water level reading above 1.8 m triggers the Early waring system  dowstream of the FEWS.  The flooding within Taveta comes from 3 main sources; 1)Rain from Taveta(minimal) 2)flooding from Mt. Kilimanjaro  through River Lumi and a number of major gulleys draining into Taveta(major flooding) and 3) Major gulleys draining  into Taveta from the Tsavo West (major flooding)",Infrastracture damaged. Loss of crops and livestock,Ranging upto 0.5m,None,Yes but numbers not yet avaialble,Roads cut off,0.144,"Gicheha Farm on 19 April 2018-150mm, Sowene on 19th April 2018-99m","1 March 2018,  3 March 2018, 21 Apr 2018,22 Apr 2018, 24 Apr 2018"
03-05-17,03-05-17,Flash,"Survey Area     Taveta , County: Taita Taveta
River basin Lumi, Sub County: Taveta, Location: Mahoo, Sub-location: Mahoo, Village: Sengoni
",Flash,None,,,,,1,None,Three(3) chicken and two (2) dogs  swept away by the flood waters,"Weir at Grogan Canal overtopped, banana plantations swept away",,,
17-11-15,18-11-15,Flash,"County: Taita Taveta                                            Sub County: Taveta
River Basin: Lumi
Location: Kitobo  
Sub-location: Kitobo
Village: Madarasani Shopping Centre",Flash,None,Houses inundated but no significant damage,,,,0.145 to 2m,None,,40 Acres rice destroyed,,,
15-12-15,19-12-15,Riverine,"County: Kilifi    Sub County: Malindi and Magarini
River Basin: Sabaki
Location: Malimo, Chakama, Shakahola and Kisiki cha Mzungu and Dagamra, Garashi, Gandini, Matolani and Baricho",Riverine,1,1050 Households,,,,1.5,7 Households,,Crops destroyed in Chakama,,,
16-05-15,20-04-15,Flash,"County: MAKUENI
River Basin: Muuoni
Location: Mutiswa : Two sub-locations affected 
Sub-location: Katani Sub-locatio?& ? Mutiswa sub-location
Villages in Katan sub-locationi: 
Kwa Mbula, Munyuni,Mambwa,Mbulutini,Kwa Kiwu,Kwo Lingu, KithathaniKwa Mbithi

Villages in Mutiswa sub-location 

Kimia, Kivuthi, Kwa Mukuta,,Kwa Lula, Kiungwani, Mbowe, Kavete, Matooni, Masaani, Katheka.
",Flash,None,,,,,0.45,"Many houses were flooded and damaged, with 5 of them in Mutiswa alone collapsing. In addition, a lot of household properties were damaged.","2 goats and over 100 chicken lost, huge areas of farmland was flooded and deposited with sand, damaging crops",Roads and drift crossings damaged,,,
24-04-16,27-04-16,Riverine,Kimorigo,,,1939,,,,00/01/1900,,,,,,
24-04-16,27-04-16,Riverine,Mbogoni,,,,,,,00/01/1900,,,,,,
06-05-16,12-05-16,Riverine,Marigat,,,5000,,,,,02-01-00,19-02-00,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
