|location|date|damage_livelihood|damage_general|people_affected|people_dead|houses_affected|livelihood_affected|infrastructures_affected|infrastructures_mentioned
0|Zambia|2009, 2010||||||||Road
1|Zambia|||||||||roads
2|Zambia|||||||||roads
3|Zambia|||||||||bridges
4|Zambia|||||||||bridges
5|Zambia|||||||||school
6|Zambia|||||||||schools
7|Zambia|||||||||schools
8|Zambia|||||||||school
9|Zambia|||||||||houses
10|Zambia|||||||||houses
11|Zambia|||||||||school
12|Zambia|||||||||hospital
13|Zambia|||||||||Bridges
14|Zambia|||||||||Bridges
15|Zambia|||||||||embankments
16|Zambia|||||||||embankments
17|Zambia|||||||||road
18|Zambia|||||||||Bridges
19|Zambia|||||||||Bridges
20|Zambia|||||||||home
21|Zambia|||||||||houses
22|Zambia|||||||||houses
23|Zambia|||||||||schools
24|Zambia|||||||||schools
25|Zambia|||||||||schools
26|Zambia|||||||||schools
27|Zambia|||||||||school
28|Zambia|||||||||school
29|Zambia|||||||||school
30|Zambia|||||||||houses
31|Zambia|||||||||houses
32|Zambia|||||||||schools
33|Zambia|||||||||schools
34|Zambia|||||||||schools
35|Zambia|||||||||schools
36|Zambia|||||||||schools
37|Zambia|||||||||schools
38|Zambia|||||||||school
39|Zambia|||||||||school
40|Zambia|||||||||school
41|Zambia|||||||||hospital
42|Zambia|||||||||houses
43|Zambia|||||||||houses
44|Zambia|2009/10||||||||School
45|Zambia|2009/10||||||||schools
46|Zambia|2009/10||||||||schools
47|Zambia|||||||||school
48|Zambia|||||||||school
49|Zambia|||||||||houses
50|Zambia|||||||||houses
51|Zambia|||||||||schools
52|Zambia|||||||||schools
53|Zambia|||||||||train
54|Zambia|||||||||school
55|Zambia|||||||||school
56|Zambia|||||||||schools
57|Zambia|||||||||schools
58|Zambia|||||||||school
59|Zambia|||||||||school
60|Namwala|||||||||houses
61|Namwala|||||||||houses
62|Namwala|||||||||houses
63|Namwala|||||||||houses
64|Namwala|||||||||houses
65|Namwala|||||||||houses
66|Namwala|||||||||houses
67|Namwala|||||||||houses
68|Namwala|||||||||houses
69|Namwala|||||||||houses
70|Namwala|||||||||houses
71|Namwala|||||||||houses
72|Zambia|||||||||school
73|Zambia|||||||||schools
74|Zambia|||||||||schools
75|Zambia|||||||||houses
76|Zambia|||||||||houses
77|Zambia|||||||||schools
78|Zambia|||||||||schools
79|Zambia|||||||||schools
80|Zambia|||||||||schools
81|Zambia|2010, 2011||||||||School
82|Zambia|2010, 2011||||||||houses
83|Zambia|2010, 2011||||||||houses
84|Zambia|2010, 2011||||||||schools
85|Zambia|2010, 2011||||||||schools
86|Zambia|2010, 2011||||||||school
87|Zambia|2010||||||||strain
88|Zambia|||||||||broad
89|Zambia|||||||||hospital
90|Zambia|||||||||road
91|Zambia||||1 |||||
92|Zambia|||||||||Road
93|Zambia|||||||||Road
94|Zambia|||||||||Road
95|Zambia|||||||||Road
96|Lusaka|2008/9, 2009/10||||||||Road
97|Lusaka|2008/9, 2009/10||||||||embankments
98|Lusaka|2008/9, 2009/10||||||||embankments
99|Lusaka|2008/9, 2009/10||||||||bridges
100|Lusaka|2008/9, 2009/10||||||||bridges
101|Zambia|||||||||road
102|Zambia|||||||||road
103|Zambia|||||||||schools
104|Zambia|||||||||schools
105|Zambia|||||||||market
106|Zambia|||||||||road
107|Zambia|||||||||Bridges
108|Zambia|||||||||Bridges
109|Zambia|||||||||Embankment
110|Zambia|||||||||road
111|Lusaka|||||||||Bridges
112|Lusaka|||||||||Bridges
113|Lusaka|||||||||Road
114|Lusaka|||||||||Embankments
115|Lusaka|||||||||Embankments
116|Zambia|||||||||Bridges
117|Zambia|||||||||Bridges
118|Zambia|||||||||Embankments
119|Zambia|||||||||Embankments
120|Zambia|||||||||Road
121|Zambia|||||||||Bridges
122|Zambia|||||||||Bridges
123|Zambia|||||||||embankments
124|Zambia|||||||||embankments
125|Zambia|||||||||road
126|Southern|2010||||||||road
127|Zambia|||||||||Bridges
128|Zambia|||||||||Bridges
129|Zambia|||||||||Bridge
130|Zambia|||||||||embankments
131|Zambia|||||||||embankments
132|Zambia|||||||||home
133|Zambia|2009, 2010||||||||Road
134|Zambia|||||||||roads
135|Zambia|||||||||roads
136|Zambia|||||||||bridges
137|Zambia|||||||||bridges
138|Zambia|||||||||school
139|Zambia|||||||||schools
140|Zambia|||||||||schools
141|Zambia|||||||||school
142|Zambia|||||||||houses
143|Zambia|||||||||houses
144|Zambia|||||||||school
145|Zambia|||||||||hospital
146|Zambia|||||||||Bridges
147|Zambia|||||||||Bridges
148|Zambia|||||||||embankments
149|Zambia|||||||||embankments
150|Zambia|||||||||road
151|Zambia|||||||||Bridges
152|Zambia|||||||||Bridges
153|Zambia|||||||||home
154|Zambia|||||||||houses
155|Zambia|||||||||houses
156|Zambia|||||||||schools
157|Zambia|||||||||schools
158|Zambia|||||||||schools
159|Zambia|||||||||schools
160|Zambia|||||||||school
161|Zambia|||||||||school
162|Zambia|||||||||school
163|Zambia|||||||||houses
164|Zambia|||||||||houses
165|Zambia|||||||||schools
166|Zambia|||||||||schools
167|Zambia|||||||||schools
168|Zambia|||||||||schools
169|Zambia|||||||||schools
170|Zambia|||||||||schools
171|Zambia|||||||||school
172|Zambia|||||||||school
173|Zambia|||||||||school
174|Zambia|||||||||hospital
175|Zambia|||||||||houses
176|Zambia|||||||||houses
177|Zambia|2009/10||||||||School
178|Zambia|2009/10||||||||schools
179|Zambia|2009/10||||||||schools
180|Zambia|||||||||school
181|Zambia|||||||||school
182|Zambia|||||||||houses
183|Zambia|||||||||houses
184|Zambia|||||||||schools
185|Zambia|||||||||schools
186|Zambia|||||||||train
187|Zambia|||||||||school
188|Zambia|||||||||school
189|Zambia|||||||||schools
190|Zambia|||||||||schools
191|Zambia|||||||||school
192|Zambia|||||||||school
193|Namwala|||||||||houses
194|Namwala|||||||||houses
195|Namwala|||||||||houses
196|Namwala|||||||||houses
197|Namwala|||||||||houses
198|Namwala|||||||||houses
199|Namwala|||||||||houses
200|Namwala|||||||||houses
201|Namwala|||||||||houses
202|Namwala|||||||||houses
203|Namwala|||||||||houses
204|Namwala|||||||||houses
205|Zambia|||||||||school
206|Zambia|||||||||schools
207|Zambia|||||||||schools
208|Zambia|||||||||houses
209|Zambia|||||||||houses
210|Zambia|||||||||schools
211|Zambia|||||||||schools
212|Zambia|||||||||schools
213|Zambia|||||||||schools
214|Zambia|2010, 2011||||||||School
215|Zambia|2010, 2011||||||||houses
216|Zambia|2010, 2011||||||||houses
217|Zambia|2010, 2011||||||||schools
218|Zambia|2010, 2011||||||||schools
219|Zambia|2010, 2011||||||||school
220|Zambia|2010||||||||strain
221|Zambia|||||||||broad
222|Zambia|||||||||hospital
223|Zambia|||||||||road
224|Zambia||||1 |||||
225|Zambia|||||||||Road
226|Zambia|||||||||Road
227|Zambia|||||||||Road
228|Zambia|||||||||Road
229|Lusaka|2008/9, 2009/10||||||||Road
230|Lusaka|2008/9, 2009/10||||||||embankments
231|Lusaka|2008/9, 2009/10||||||||embankments
232|Lusaka|2008/9, 2009/10||||||||bridges
233|Lusaka|2008/9, 2009/10||||||||bridges
234|Zambia|||||||||road
235|Zambia|||||||||road
236|Zambia|||||||||schools
237|Zambia|||||||||schools
238|Zambia|||||||||market
239|Zambia|||||||||road
240|Zambia|||||||||Bridges
241|Zambia|||||||||Bridges
242|Zambia|||||||||Embankment
243|Zambia|||||||||road
244|Lusaka|||||||||Bridges
245|Lusaka|||||||||Bridges
246|Lusaka|||||||||Road
247|Lusaka|||||||||Embankments
248|Lusaka|||||||||Embankments
249|Zambia|||||||||Bridges
250|Zambia|||||||||Bridges
251|Zambia|||||||||Embankments
252|Zambia|||||||||Embankments
253|Zambia|||||||||Road
254|Zambia|||||||||Bridges
255|Zambia|||||||||Bridges
256|Zambia|||||||||embankments
257|Zambia|||||||||embankments
258|Zambia|||||||||road
259|Southern|2010||||||||road
260|Zambia|||||||||Bridges
261|Zambia|||||||||Bridges
262|Zambia|||||||||Bridge
263|Zambia|||||||||embankments
264|Zambia|||||||||embankments
265|Zambia|||||||||home
266|Zambia||||173 |||||
267|Zambia|||||||||Market
268|Zambia|on125||||||||Market
269|Zambia|2009/10, 2008/09, 2009/10, 2008/09, 2009/10, May 2009||||||||Houses
270|Zambia|2009/10, 2008/09, 2009/10, 2008/09, 2009/10, May 2009||||||||Houses
271|Lusaka||||13636 |||||
272|Lusaka||||1000000 |||||
273|Lusaka||||5 |||||
274|Lusaka||||238254 |||||
275|Lusaka||||174720 |||||
276|Luangwa|at 10.2|||13407 |||||
277|Lukulu|at 10.2|||13407 |||||
278|Namwala|at 10.2|||13407 |||||
279|Sesheke|at 10.2|||13407 |||||
280|Sesheke|at 10.2||||||||Roads
281|Sesheke|at 10.2||||||||Roads
282|Sesheke|at 10.2||||||||bridges
283|Sesheke|at 10.2||||||||bridges
284| Western|at 10.2||||||||School
285|North-Western|at 10.2||||||||School
286|Sesheke|at 10.2||||||||school
287|Sesheke|||||||||school
288|Sesheke|||||||||school
289|Sesheke|||||||||school
290|Zambia||||238254 |||||
291|Zambia||||174720 |||||
292|Zambia|||||||||roads
293|Zambia|||||||||roads
294|Zambia|||||||||school
295|Zambia|||||||||road
296|Zambia|by 2008/9, 2009/10, July 2010||||||||school
297|Kalabo|at 11.8||||||||school
298|Kalabo|at 11.8||||||||school
299|Kalabo|at 11.8||||||||school
300|Kalabo|at 11.8||||||||school
301|Kalabo|at 11.8||||||||school
302|Kalabo|at 11.8||||||||school
303|Mongu|at 11.8||||||||school
304|Kafue|at 11.8||||||||school
305|Zambia||||24 |||||
306|Zambia|||||||||school
307|Zambia|||||||||home
308|Zambia|||||||||homes
309|Zambia|||||||||homes
310|Zambia|||||||||homes
311|Zambia|||||||||homes
312|Zambia|||||||||roads
313|Zambia|||||||||roads
314|Zambia|||||||||houses
315|Zambia|||||||||houses
316|Zambia|||||||||houses
317|Zambia|||||||||houses
318|Luangwa|||||||||Market
319|Namwala|||||||||Market
320|Lukulu|||||||||Market
321|Sesheke|||||||||Market
322|Gwembe|||||||||market
323|Zambia|2009/10, 2010/11|||200910 |||||
324|Zambia|||||||||schools
325|Zambia|||||||||schools
326|Zambia||||5 |||||
327|Zambia|||||||||Markets
328|Zambia|||||||||Markets
329|Zambia|2010|||66 |||||
330|Zambia|2009, 2008, 2008/09, 2008, 2008/09, 2007/08, 2009, 2009/10||||||||market
331|Zambia|2009, 2008, 2008/09, 2008, 2008/09, 2007/08, 2009, 2009/10||||||||market
332|Southern|2008/09||||||500 goat||
333|North Western|||||||||avenue
334|Zambia|on 2010/11 Mar, May1,2010, 2009/10||||||||market
335|Zambia|on 2010/11 Mar, May1,2010, 2009/10||||||||market
336|Zambia|||||||||market
337|Zambia|||||||||market
338|Zambia|||||||||market
339|Zambia|||||||||market
340|Zambia|at 2006|||21 |||||
341|Zambia|at 2006||||||||dam
342|Zambia|2008|||874293 |||||
343|Zambia|2007||||||||hospitals
344|Zambia|2007||||||||hospitals
345|Zambia|2007, 2007|||more than a third |||||
346|Zambia|2007, 2007|||2000000 |||||
347|Zambia|2007, 2007|||0 |||||
348|Zambia|2007, 2007|||0 |||||
349|Zambia|2007, 2007|||1000000 |||||
350|Zambia|||||||||school
351|Zambia|2008, 2015|||||||100 schoolschools|
352|Zambia|2008, 2015|||600 |||||
353|Zambia|2008, 2015||||||||school
354|Zambia|2008, 2015||||||||schools
355|Zambia|2008, 2015||||||||schools
356|Zambia|||||||||houses
357|Zambia|||||||||houses
358|Zambia|||||||||houses
359|Zambia|||||||||houses
360|Zambia|||||||||road
361|Zambia|||||||||bridges
362|Zambia|||||||||bridges
363|Zambia|||||||||roads
364|Zambia|||||||||roads
365|Zambia|||||||||bridges
366|Zambia|||||||||bridges
367|Zambia|||||||||roads
368|Zambia|||||||||roads
369|Zambia|||||||||schools
370|Zambia|||||||||schools
371|Zambia|||||||||roads
372|Zambia|||||||||roads
373|Zambia|||||||||schools
374|Zambia|||||||||schools
375|Zambia|2009/10|||238258 |||||
376|Zambia|2009/10|||174724 |||||
377|Sesheke|||||||||market
378|Sesheke|||||||||market
379|Serenje|||||||||HOUSES
380|Serenje|||||||||HOUSES
381|Zambia|||||||||school
382|Zambia|||||||||school
383|Zambia|||||||||school
384|Zambia||||||||32 schoolschools|
385|Zambia|||||||||schools
386|Zambia|||||||||schools
387|Zambia||||774 |||||
388|Zambia||||1056 |||||
389|Gwembe|||||||||houses
390|Gwembe|||||||||houses
391|Gwembe|||||||||house
392|Gwembe|||||||||houses
393|Gwembe|||||||||houses
394|Gwembe|||||||||houses
395|Gwembe|||||||||houses
396|Gwembe|||||||||houses
397|Gwembe|||||||||houses
398|Gwembe|||||||||houses
399|Gwembe|||||||||houses
400|Zambia|2009/10|||238258 |||||
401|Zambia|2009/10|||174724 |||||
402|Zambia|by 2008/9, 2009/10||||||||roads
403|Zambia|by 2008/9, 2009/10||||||||roads
404|Zambia|by 2008/9, 2009/10||||||||school
405|Zambia|by 2008/9, 2009/10||||||||road
406|Zambia|by 2008/9, 2009/10||||||||school
407|Zambia||||5 |||||
408|Kalabo|at 11.8||||||||school
409|Kalabo|at 11.8||||||||school
410|Kalabo|at 11.8||||||||school
411|Kalabo|at 11.8||||||||school
412|Kalabo|at 11.8||||||||school
413|Kalabo|at 11.8||||||||school
414|Mongu|at 11.8||||||||school
415|Kafue|at 11.8||||||||school
416|Zambia|||||||||homes
417|Zambia|||||||||homes
418|Zambia|||||||||homes
419|Zambia|||||||||homes
420|Zambia|||||||||roads
421|Zambia|||||||||roads
422|Zambia|||||||||houses
423|Zambia|||||||||houses
424|Zambia|||||||||houses
425|Zambia|||||||||houses
426|Luangwa|||||||||Market
427|Namwala|||||||||Market
428|Lukulu|||||||||Market
429|Sesheke|||||||||Market
430|Gwembe|||||||||market
431|Zambia|2009/10, 2010/11|||200910 |||||
432|Zambia|||||||||schools
433|Zambia|||||||||schools
434|Zambia|||||||||house
435|Zambia|||||||||house
436|Zambia|||||||||school
437|Zambia|||||||||home
438|Zambia|||||||||Roads
439|Zambia|||||||||Roads
440|Zambia|||||||||Bridges
441|Zambia|||||||||Bridges
442|Zambia|||||||||School
443|Zambia|||||||||school
444|Zambia|||||||||home
445|Zambia|||||||||Roads
446|Zambia|||||||||Roads
447|Zambia|||||||||Bridges
448|Zambia|||||||||Bridges
449|Zambia|||||||||School
450|Zambia||||74 |||||
451|Zambia||||||5 |||
452|Zambia|||||||||house
453|Zambia|2009/10|||13 |||||
454|Zambia|2008/09||||||1 acre||
455|Zambia|2008/09||||||1 acre||
456|Zambia|2008/09||||||1 acre||
457|Zambia|||||||||market
458|Zambia|||||||||market
459|Zambia|||||||||roads
460|Zambia|||||||||roads
461|Zambia|||||||||bridges
462|Zambia|||||||||bridges
463|Zambia|||||||||market
464|Zambia|||||||||market
465|Zambia|May 2009||||||||house
466|Zambia|||||||||Dam
467|Zambia|of May 2009||||||||markets
468|Zambia|of May 2009||||||||markets
469|Zambia|of May 2009||||||||markets
470|Zambia|of May 2009||||||||markets
471|Zambia|of May 2009|||||||2 roadroads|
472|Zambia|of May 2009||||||||roads
473|Zambia|of May 2009||||||||roads
474|Zambia|of May 2009||||||||bridges
475|Zambia|of May 2009||||||||bridges
476|Zambia|of May 2009||||||||market
477|Zambia|of May 2009||||||||market
478|Zambia|of May 2009||||||||market
479|Zambia|May 2010, Dec 2009|||2 |||||
480|Zambia|May 2010, Dec 2009|||3 |||||
481|Zambia|May 2010, Dec 2009|||4 |||||
482|Zambia|||||||7 cattle||
483|Zambia|||||||||clinic
484|Zambia|||||||||school
485|Zambia|||||||||Houses
486|Zambia|||||||||Houses
