,place_id,place_name,place_address,place_lat,place_long,country,phone_number,website,url,adm_lvl_1,adm_lvl_2
16,ChIJW54vPBKiiYUR-EtI2ZCPUO4,Cruz Roja Guatemalteca,"3ra Calle 8-40 01001 Guatemala, Guatemala",14.6452757,-90.5106878,Guatemala,+502 2381 6565,http://www.cruzroja.gt/,https://maps.google.com/?cid=17172383231447157752,Guatemala,unknown
0,ChIJMyW5SRPDjoUR-REhJ_YvrT8,Cruz Roja Guatemalteca Delegación Mazatenango,"1a Avenida 3-51, Mazatenango, Guatemala",14.5364097,-91.5058097,Guatemala,+502 7872 0182,http://www.cruzroja.gt/,https://maps.google.com/?cid=4588376329625342457,Suchitepéquez,unknown
2,ChIJN_2PyFa9joURFmeCXebGo5U,Cruz Roja Guatemalteca Delegación Quetzaltenango,"8a Avenida 6-62 zona 1, Quetzaltenango, Quezaltenango 09001, Guatemala",14.8325626,-91.51685340000002,Guatemala,+502 7761 2746,http://www.cruzroja.gt/delegaciones/quetzaltenango/,https://maps.google.com/?cid=10782680625568704278,Quetzaltenango,unknown
3,ChIJRfCm_OHxjoURCaTnCVAfYKI,Cruz Roja Guatemalteca Delegación Retalhuleu,"Casa N°. 2 Colonia San Josecito Zona 2, 11 Calle, Retalhuleu 11001, Guatemala",14.5414173,-91.6763605,Guatemala,+502 7771 5520,http://www.cruzroja.gt/,https://maps.google.com/?cid=11700386260532569097,Retalhuleu,unknown
4,ChIJ____NKxhjoURn_t-T86JPjE,Cruz Roja Gualtemalteca,"4a. Calle, Coatepeque, Guatemala",14.7025433,-91.8636934,Guatemala,unknown,unknown,https://maps.google.com/?cid=3548425075604519839,Quetzaltenango,unknown
6,ChIJHYmNVsjxjoURq_okvBiXang,Puesto de Socorro CASUR Cruz Roja Guatemlteca Delegación Retalhuleu,"Retalhuleu, Guatemala",14.5220234,-91.6932678,Guatemala,+502 7771 5520,unknown,https://maps.google.com/?cid=8676913764574231211,Retalhuleu Department,unknown
7,ChIJwUGdKdTqjoURJF1Kor7hal0,Cruz Roja Guatemalteca Delegacion El Palmar,"El Palmar, Quetzaltenango, Guatemala",14.6479532,-91.5568436,Guatemala,+502 7772 4205,http://www.cruzroja.gt/,https://maps.google.com/?cid=6731440801941445924,Suchitepequez,Nuevo Palmar
8,ChIJD9sIhstqjoUR0Mln8mpFuNc,Cruz Roja Guatemalteca Delegacion Tecun Uman,"Ciudad Tecun Uman, Guatemala",14.6777526,-92.1418964,Guatemala,+502 7776 8402,unknown,https://maps.google.com/?cid=15544250439505005008,San Marcos Department,unknown
9,ChIJf-0qkDHsjoURgePlbRTAx9s,Puesto de Socorro el Zarco Cruz Roja Guatemalteca Delegación Retalhuleu,"CA2, Guatemala",14.5735323,-91.6317487,Guatemala,+502 7771 5520,unknown,https://maps.google.com/?cid=15836837808647299969,Retalhuleu,unknown
10,ChIJj4wOnIPtjoURrwgOF48Bt_U,"Chojín a Beneficio de Cruz Roja, Q. 30.00 el plato","A, 5a Av, San Sebastian, Guatemala",14.5604664,-91.65261690000001,Guatemala,+502 4255 4547,unknown,https://maps.google.com/?cid=17705622174109141167,Retalhuleu,unknown
12,ChIJ_S6LHKxhjoURzg3xDqZuKDs,Cruz Roja Delegacion de Coatepeque,"Coatepeque, Guatemala",14.7035308,-91.8652296,Guatemala,+502 7775 1125,unknown,https://maps.google.com/?cid=4262778706800479694,Quetzaltenango Department,unknown
14,ChIJ8W5hz50sjIURrwSmb9i2XaM,"Cruz Roja Guatemalteca, Delegación Tejutla","Avenida 3-71 4, Tejutla, Guatemala",15.1209353,-91.80667799999999,Guatemala,+502 7760 0525,http://www.cruzroja.gt/,https://maps.google.com/?cid=11771766041718686895,San Marcos,unknown
15,ChIJWYf6gQodiYURMK-R-GQi_R4,Cruz Roja Guatemalteca,"Escuintla, Guatemala",14.3011548,-90.7907819,Guatemala,unknown,unknown,https://maps.google.com/?cid=2232978807308005168,Escuintla,unknown
16,ChIJ-QCre92jiYUR8u58W83JmI0,Clínicas Médicas de Cruz Roja Guatemalteca | Ciudad de Guatemala,"3 Calle 8-40, Guatemala 01001, Guatemala",14.6452453,-90.5104642,Guatemala,+502 2381 6501,http://www.cruzroja.gt/,https://maps.google.com/?cid=10203126839648251634,Guatemala,unknown
