title|publish_date|text|url
Govt to forcibly evict Kenyans in flood-hit areas as death toll hits 194|06/05/2020|"Residents use a boat to evacuate with their animals from the floodwaters after River Nzoia burst its banks and due to the backflow from Lake Victoria, in Buyuku village of Budalangi, in Busia County, Kenya May 2, 2020. REUTERS/Thomas Mukoya

Nairobi – Kenya Interior Cabinet Secretary Dr. Fred Matiang’i now says the government has begun forcefully evicting people out of areas prone to flooding following the heavy rains witnessed in the country in recent weeks.

This comes as the government on Wednesday, May 6 announced that 30 people had died within the last 24 hours of flooding, bringing the total tally over the last three weeks to 194.

CS Matiang’i, speaking during a press address in Nairobi on Wednesday, said security apparatus in the flood hit areas, especially in the North Eastern and Eastern regions, had already been given the green light to use force where necessary.

The tough-talking CS said negotiation with residents of such areas was not working saying: “…as public leaders we have a responsibility to protect lives and so we would rather negotiate with you when you’re alive.”

A man takes a photograph of a flooded village after River Nzoia burst its banks and due to the backflow from Lake Victoria, in Nyadorera, Siaya County, Kenya May 2, 2020. REUTERS/Thomas Mukoya

“We have instructed the County Commissioners and the county security teams in Garissa and Tana River to move everyone away; even if it means putting them on lorries ourselves and getting them out of danger,” said Matiang’i.

He, however, urged them to abide by the government directives and relocate out of their own volition rather than waiting to be moved.

“We have given instructions to our regional security team in North Eastern and parts of Eastern and Coast to begin moving people. We are not waiting for people to be swept downstream, we are moving some people away from danger using public resources,” he said"|https://www.redpepper.co.ug/2020/05/govt-to-forcibly-evict-kenyans-in-flood-hit-areas/
Floods In Kampala After Last Night Heavy Down Pour|18/11/2018|"Heavy rains pounded Kampala last night leaving many in tears after it damaged buildings, roads and businesses.

Our Camera captured a few pictures that show some parts completely flooded.

Kamwokya, Kyebando , Kumbuzi, Kasangati, some of the roads are cut off because of rains, pray for residents of Muromba

Rain caused more havoc in areas of Kyanja Nakawa Division and the some residents are trying to help fellow community members.

Kampala this morning experienced a heavy downpour that has paralysed work in the Suburbs.

Most parts of Kyanja a Kampala suburb continue to flood due to the morning rains.

Along some roads Kampala,water levels rose up to several inches in some sections.

Cars were smashed by weak fences in some apartments.

Counting losses

Mwogi’s apartments in Kyanja, Nakawa division had its wall cave in."|https://www.redpepper.co.ug/2018/11/floods-in-kampala-after-last-night-heavy-down-pour/
UPDF boosts emergency response in flood affected areas|09/05/2020|"Minister of State for Disaster Preparedness, Hon Musa Ecweru from arrives in Kasese district to assess impact of the floods.

Kasese – The Uganda People’ Defence Forces have established structures to respond to the flood situation in Bundibugyo and Kasese districts.

This includes airlift support services on call, search and rescue, and a unit for relocation established on the ground to respond to the emergency.

UPDF contingent from the 222 Mountain Infantry Brigade under the command of Lt Col Denis Wanyama is deployed to help in relocation and assistance of the affected communities.

The Uganda Peoples’ Defence Air Forces is also on standby to render airlift services.

On May 07, the Uganda Peoples’ Defence Air Forces airlifted the Minister of State for Disaster Preparedness, Hon Musa Ecweru from Kololo Airstrip to Kasese district, to enable him to coordinate Government efforts in response to the ravaging floods, in the area.

The Minister said he travelled to Kasese to assess the extent of damage and relief requirement for persons affected by the floods caused by the overflow of rivers; Nyamwamba, Nyamugasani and Mubuku on May 06, 2020.

All the rivers in Kasese and Bundibugyo Districts burst their banks, due to heavy rainfall, on the night of May 05, 2020.

Kilembe hospital was among the places gravely affected by the floods.

The Uganda Peoples’ Defence Forces, Uganda Police Force, and Non-Governmental Organizations have been helping in the search and rescue of patients, attendants and medical workers cut off by the floods – plus the population in the neighbourhood of the hospital.

The Local ambulance, facilitated by the joint efforts, is playing a significant role in the rescue and evacuation of the affected persons.

The floods also impacted on the general infrastructure and essential service provision in the affected districts.

Roads and bridges were destroyed as well as electricity distribution services such as that, at Kasese, Kilembe mines and Tronder hydro power plants, were gravely affected.

Education institutions were also affected such as Bikone Primary School that was partially destroyed. Furthermore, Kanamba Health Centre was all destroyed.

The UPDF is working within its core constitutional functions stipulated in Article 209 to render support during the emergency.

The UPDF remains a people’s Force, committed to working with and for the people of Uganda under all situations."|https://www.redpepper.co.ug/2020/05/updf-emergency-response-in-flood/
Kampala flooding Inks Ugandans, New City|09/11/2018|"Kampala City flooding is common whenever it rains but this time round residents are starting debate as to whether we need a well planned City.

Sarah Bireete a Kampala resident posted on her facebook page about her thoughts on Kampala floods this morning.

“Good Morning Uganda – a Country where floods wreak havoc in the city every time it rains. This morning, as I moved from Wakiso to Kampala, I realized that we can as well promote tourism through abrupt waterfalls caused by vehicles during simple rain because of a poor drainage system! Many lives have been lost in these city floods through people and small vehicles getting stuck in manholes! THE BIG QUESTION: Can we have a proper drainage system in greater Kampala as one of President M7’s legacy infrastructure projects?”.

She is not alone , Kiapi K. Freddie says for

Lwanga Christopher blames City developers

”"|https://www.redpepper.co.ug/2018/11/kampala-flooding-inks-ugandans-new-city/
Kenya, Somalia and Rwanda ravaged by deadly flooding|08/05/2020|"Residents use a boat to evacuate with their animals from the floodwaters after River Nzoia burst its banks and due to the backflow from Lake Victoria, in Buyuku village of Budalangi, in Busia County, Kenya May 2, 2020. REUTERS/Thomas Mukoya

AGENCIES | BBC | Flooding as a result of recent heavy rains has killed more than 260 people across East Africa.

Kenya has been the hardest hit with the government recording 194 deaths.

In Rwanda, 55 people have died and floods have killed 16 in Somalia. In Uganda high water levels have trapped an estimated 200 patients inside a hospital.

East African countries have also been hit by a locust invasion and Covid-19.

The authorities in Kenya have told people in some of the affected areas to move away from “potential danger”.

The water has also washed away 8,000 acres of crops and some vital infrastructure, the government has said.

Meteorologists predict that the heavier than usual rains will continue throughout May, reports the BBC’s Patience Atuhaire in Uganda’s capital, Kampala. The rainy season normally lasts until June.

n Rwanda, people died as a result of landslides in the mountainous north-west of the country.

Houses, roads and crops were all destroyed and hundreds remain homeless, mayors of the affected districts have told the BBC’s Great Lakes service.

What’s the latest from Uganda?

In western Uganda, a river burst its banks causing people to flee for safety to the town of Kasese.

At the nearby Kilembe hospital, rescuers are trying to reach the trapped patients and take them to a church.

In recent weeks, water levels in Lake Victoria have reach an unprecedented height, forcing shoreline communities to abandon their homes and causing erosion along the River Nile, which is fed by the lake.

Last month, a huge floating island of loose vegetation led to a nationwide blackout in Uganda after clogging a turbine in a hydroelectric power station.

At the end of last year, rain-triggered disasters, including flash floods and landslides, killed at least 250 people and affected some three million people across East Africa."|https://www.redpepper.co.ug/2020/05/kenya-somalia-and-rwanda-ravaged-by-deadly-flooding/
Thousands homeless as floods, landslides hit Kenya|04/05/2020|"A man takes a photograph of a flooded village after River Nzoia burst its banks and due to the backflow from Lake Victoria, in Nyadorera, Siaya County, Kenya May 2, 2020. REUTERS/Thomas Mukoya

AGENCIES | Aljazeera | More than 1,800 families in western Kenya have been rendered homeless after the River Nzoia burst its banks, according to the Kenya Red Cross.

In the Buyuku village of Budalangi, residents loaded their belongings on boats to get them away from submerged homes.

“It’s been flooding for three days now,” said Vincent Ochieng, one of the residents affected by the floods. “I think the government is not even aware, but now we are telling them. We are asking them if there are any plans to assist us, only two boats are here for evacuating people.”

Residents use a boat to evacuate with their animals from the flood waters after River Nzoia burst its banks and due to the backflow from Lake Victoria, in Buyuku village of Budalangi, in Busia County, Kenya May 2, 2020. REUTERS/Thomas Mukoya

Heavy rainfall in recent days has led to flooding and landslides across the region.

On April 30, Eugene Wamalwa, cabinet secretary of the Ministry of Devolution, told Citizen TV Kenya that 116 people had died in the country due to the flooding across 29 counties."|https://www.redpepper.co.ug/2020/05/thousands-homeless-as-floods-landslides-hit-kenya/
PICTURES: Mbale – Tirinyi Highway Washed Away By Floods|22/05/2018|"Heavy rains and the resultant flash floods have washed away a section of Mbale- Tirinyi Highway bringing to ahalt all motorized traffic on the road.

Uganda National Roads Authority (UNRA) issued a statement announcing that the damage was done at Lupada at 77 kilometres.

“The road is cut off at this point pending restoration works. currently the contractor and our team are on the ground working around the clock to restore the road to motorable condition.”

These are some of the pictures shared by road users and witnesses from the scene."|https://www.redpepper.co.ug/2018/05/pictures-mbale-tirinyi-highway-washed-away-by-floods/
MTN Uganda Donates Start-up kits for Kasese Floods Victims|13/05/2020|"MTN Uganda CEO, Wim Vanhelleputte (L) displays the contents of the relief kits that will be distributed to the flood victims in Kasese district

Kampala – Telecom giants, MTN Uganda through its Corporate Social Responsibility arm, the MTN Foundation donated UGX 41M towards the Kasese floods victims.

The telecom revealed that the funds were to be used to buy non-food relief items to support the families that have been displaced.

The devastating floods ensued after River Nyamwamba burst its banks, following the heavy rains that hit the Rwenzori Mountain ranges.

Over 24,760 households with approximately 173,320 people were affected by the flash floods. Almost up to 150 houses were destroyed in Karusandara division while another 92 houses were completely washed away in Nyamwamba and kilembe areas.

The displaced people have sought shelter from nearby churches and school buildings following a directive from Hon. Musa Ecweru, the state Minister for Relief and Disaster Preparedness during his visit to the area last week.

It is against this premise MTN Uganda, through it’s foundation that aims at improving the lives of the communities within which it operates by supplementing government efforts in priority areas including disaster responses has urgently come in to reach out to the Kasese floods victims with relief aid.

While handling over the dummy cheque to the Red Cross and Officials from the office of the Prime Minister, MTN Uganda’s Chief Executive Officer, Mr. Wim Vanhelleputte remarked that facing such a disaster in these unprecedented times when the globe is grappling with the Covid19 pandemic and the country in a state of lock-down, spells double tragedy for the people of Kasese, thus prompting urgent relief from MTN and all other stakeholders to save the lives of people.

Mr. Vanhelleputte made the remarks while handing over a dummy cheque at the Nyonyi Gardens MTN offices in Kampala on Monday.

Wim further expressed MTN’s heartfelt sympathy to the people of Kasese.

“As MTN Uganda, we stand with the people of Kasese who have suffered great loss in the recent heavily destructive flash floods. We understand that this is such a trying time, especially since we are already battling the devastating effects of the Covid19 pandemic. We hope that this modest support we have rendered will offer them some comfort,”

While receiving the cheque, Robert Kwesiga, Uganda Red Cross Secretary General appreciated MTN for always coming through very fast to support whenever the Country has emergences.

“This is not the first time MTN Uganda has supported people affected by disasters. Last year they supported Bududa twice, supported Bundibugyo and today they are supporting Kasese. This consistent commitment is a true humanitarian spirit exhibited by MTN to support it’s community.

Amidst this period when all partners including MTN have heavily invested in the COVID-19 fight, MTN has still managed to support Kasese. We want to thank you.” Kwesiga said.

The money shall be used to procure 100 standard household non-food-item kits to reach out to 100 most vulnerable families comprising of children, youths, women and the elderly.

Each of the kits contains 2 cooking pots, 6 cups, 6 plates, 1 knife, 1 ladle, 2 jerry cans, 3 blankets, 3 mosquito nets, 3 bars of soap and 1 tarpaulin for shelter.

In 2013, the MTN foundation spent about 250m to support the kilembe mines hospital which had been affected by similar floods through refurbishment of the children and maternal ward and provided items to support the hospital inclusive of 100 hospital beds, mattresses, mosquito nets as well a generator.

On behalf of the Government of Uganda, the Ag. Commissioner for Disaster Preparedness Ms. Rose Nakabugo extended warm heartfelt appreciation to MTN Foundation for the support to the people of Kasese. “This is very timely. We thank MTN and commit that the donated items will right away be delivered to Kasese to help people cope through this situation. Thank you for complimenting our efforts.”"|https://www.redpepper.co.ug/2020/05/mtn-uganda-donates-start-up-kits-for-kasese-floods-victims/
Floods Ravage Kampala Metro|09/04/2019|"By Diana Namutebi

Heavy rains in Kampala metropolitan area from around 04:00am to mid morning has left the city roads either blocked or difficult to navigate.

The flood prone spots at Kyambogo and Lugogo on Jinja Road will closed off to most traffic.

This forced most motorists to use nearby suburbs of Ntinda and Bugolobi that caused huge traffic pile up.

Entebbe Road was largely flooded between Najjanankumbi and Roofings factory (Lubowa) while Katwe and clock Tower were not spared.

Roads in Nalukolongo,Nateete and Namasuba were also flooded.

On Gayaza Road ( Ku Mbuzi) on the junction to Kyanja, the Kisaasi Road was cut off by floods while the road between Namugongo and Bweyogerere via Nsawo was also cut off"|https://www.redpepper.co.ug/2019/04/floods-ravage-kampala-metro/
Heavy Rains, Floods Mar AIGP Kaweesi Burial|21/03/2017|"Heavy Rains, Floods Mar AIGP Kaweesi Burial

Mourners heading to Kitwekyanjovu village in Lwengo district to attend the burial of Assistant Inspector General of Police (AIGP) Andrew Felix Kaweesi were this morning hampered by heavy rains that flooded the muddy roads to Lwengo.

Kaweesi was gunned down with his bodyguard CPL. Kenneth Erau and driver Godfrey Mambuwa in Kulambiro, Kampala, on Friday by unknown gunmen who were travelling on two motorcycles.

After a requiem mass at Lubaga Cathedral in Kampala yesterday, his remains were airlifted in a police chopper to his ancestral home in Kitwekyanjovu, Kyazanga sub-county in Lwengo district, where he is set to be laid to rest.

However, currently, hundreds of mourners flocking the area for Kaweesi’s final sendoff are finding it very difficult to reach the burial grounds, because of their cars being submerged in heavy floods.

Our reporters reveal that many of the mourners have decided to abandon their vehicles and walk to Kaweesi’s ancestral burial grounds, although they are scared thugs may vandalise them.

Look out for updates and proceedings about Kaweesi burial on Red Pepper website."|https://www.redpepper.co.ug/2017/03/heavy-rains-floods-mar-aigp-kaweesi-burial/
