title|publish_date|text|url
ADAPATION AUX CHANGEMENTS CLIMATIQUES : PGIS Mali, de bonnes leçons pour l’adaptation aux impacts de la sécheresse|22/03/2020|"Le Partenariat Régional de l’Eau de l’Afrique de l’Ouest (GWP-AO) a profité de la Journée mondiale de l’eau (célébrée le 22 mars 2020) pour mettre l’accent sur la nécessité d’agir en faveur du climat. Cette organisation œuvre à faire de l’eau un levier pour accroitre la résilience climatique de l’Afrique de l’ouest à travers des initiatives pertinentes comme le PROGIS-AO…

Dans le cadre du Projet Gestion intégrée des Sécheresses en Afrique de l’ouest (PROGIS-AO/composante régionale du Programme mondial de Gestion intégrée des sécheresses avec l’Organisation météorologique mondiale-OMM), on peut noter la réalisation d’une revue des initiatives nationales dans le domaine de la sécheresse dans trois pays (Burkina Faso, Mali et Niger) ; le développement d’un guide méthodologique pour la gestion intégrée de la sécheresse ; l’appui au Bénin, au Burkina Faso et au Niger pour l’élaboration de leur plans nationaux de sécheresse.

Au Mali, la fin de la saison des pluies a apporté des nouvelles très intéressantes aux agriculteurs travaillant avec le projet pilote de gestion intégrée de la sécheresse dans la municipalité de Gouendo, une commune rurale du cercle de Barouéli (région de Ségou). Une visite sur le terrain mené par la chargée de projet régional accompagnée du secrétaire permanent du Partenariat national pour l’eau (PNE-Mali). Elle a permis de visualiser les résultats encourageants de l’action pilote et relever la joie des bénéficiaires.

En effet, selon la coordination régionale du GWP-AO (GWP/ West Africa Secretariat), les agriculteurs des villages ciblés par le projet méconnaissaient les pratiques de Conservation des Eaux et des Sols (CES) et de Défense Restauration des Sols (DRS) proposés. Il était donc question de leur démontrer que les champs qu’ils ont abandonnés pouvaient être récupérés grâce à des pratiques à faible coût qui ne nécessitent aucun investissement.

Ces pratiques ne demandant que des efforts physiques produisant des résultats sont impressionnants à l’issue de la saison hivernale. Et cela d’autant plus qu’elles permettent aux paysans de cultiver et réaliser des récoltes sur les champs restaurés.

« Nous ne savions pas qu’il était possible de tirer quelque chose de cette zone. Mais, grâce à ce que nous avons appris avec le projet, nous avons pu semer et récolter du sésame. La zone autrefois était délaissée car pour nous, elle était impropre à l’agriculture et nous nous sentions obligés de nous déplacer vers d’autres terres plus fertiles », à confier à l’équipe du projet pilote Nourou Traoré, un cultivateur du village de Baguina (région de Mopti).

Un autre paysan bénéficiaire de la même localité a confié que sur une superficie d’environ un ha de terre abandonnée dans le passé, 3 sacs de mil ont pu être récoltés. « Qui l’aurait cru !», s’est-il exclamé. Dans le village de Djela, un membre du groupement des jeunes notes avec satisfaction avoir pu récolter du sésame sur la parcelle récupérée.

Des résultats satisfaisants malgré une pluviométrie inachevée

Ces résultats auraient pu être meilleurs si l’arrêt précoce des pluies à la mi-août dans le village de Baguina n’avait été noté, bien que les informations météorologiques eussent prévu une saison hivernale jusqu’en fin septembre dans la région. En effet, l’information donnée étant sur toute une région, il était difficile de prévoir l’arrêt des pluies sur ce village précis. « Cette situation a joué négativement sur les récoltes d’autant plus qu’une solution alternative d’apport en eau n’avait pas été prévue par le projet », a déploré le staff du projet pilote.

Une autre difficulté est liée au problème des oiseaux migrateurs qui viennent manger le mil après les semences. Les paysans ont donc dû semer trois fois de suite dans les champs pilotes. Aussi la faible implication voire l’inexistence de femmes bénéficiaires a été une insuffisance soulevée par le point focal.

Ce qui est dû au fait que ces dernières ne sont pas propriétaires des champs. Il a été donc suggéré au promoteur de les prendre en compte si possible pour les actions futures à travers leur renforcement de capacité pour la mise en œuvre d’activités de maraichage.

A noter que le sésame constitue un produit de consommation courante dans ces localités et une grande source de revenus pour les bénéficiaires. Le mil est la céréale la plus consommée de la région et les sacs récoltés contribuent beaucoup à l’alimentation des familles pendant une certaine période.

Moussa Bolly

Avec la Coordination régionale du GWP-AO (GWP/ West Africa Secretariat)

LE MATIN"|https://niarela.net/societe/environnement/adapation-aux-changements-climatiques-pgis-mali-de-bonnes-lecons-pour-ladaptation-aux-impacts-de-la-secheresse
18è Sommet du CILSS : « Une agriculture moderne et maîtrisée est une alternative crédible contre la sécheresse » selon Ibrahim Boubacar Keita|07/02/2018|"La 18è conférence des chefs d’Etat et de gouvernement du Comité inter-États de lutte contre la sécheresse au Sahel (CILSS), s’est tenue le mercredi 7 février 2018 à Niamey au Niger. « Une agriculture moderne et maîtrisée est une alternative crédible contre la sécheresse » a déclaré Ibrahim Boubacar Keita, le président sortant.

Dans sa communication, le président Ibrahim Boubacar Keita a dressé un bilan annuel élogieux malgré un contexte de défis sécuritaire et humanitaire. Il a aussi évoqué l’exode des populations et l’extrémisme religieux, conséquences de la pauvreté et de l’insécurité alimentaire.

A l’instar de ses pairs au nombre de six présents à cette conférence, le président Kéita s’est dit convaincu qu’une agriculture moderne et maîtrisée est une alternative crédible contre la sécheresse. Poursuivant, le chef de l’Etat malien a fait un vibrant plaidoyer pour sauver le lac Tchad et le fleuve Niger qui se rétrécissent comme une peau de chagrin. «La vie au bord de ces sources d’eau devient rare. Des cadavres de bêtes tout au long. Les dunes de sable colonisent le lit du fleuve. Tout cela n’est pas une illusion. Nous vivons le changement climatique dans nos chairs tous les jours», a-t-il relevé.

«Nous avons accordé 15% du budget à l’agriculture. Cette année, nous allons enregistrer une bonne saison cotonnière et aussi de cultures vivrières. Les populations sont rassurées d’avoir à manger. Mais cela ne suffit pas, il faut pouvoir manger dans un espace sécurisé», a poursuivi le président Kéita avant de lancer que «notre combat est une lutte pour la survie de l’espèce humaine».

La population de l’Afrique sub-saharienne, estimée à 920 millions en 2014, va plus que doubler dans les 36 prochaines années. Ces changements démographiques tels qu’ils sont prévus, vont avoir des conséquences énormes dans beaucoup de pays et ce, dans de nombreux domaines allant de la production agricole jusqu’aux perspectives de développement socioéconomique, en passant par la stabilité politique. Le Sahel, en particulier, devra faire face aux défis les plus extrêmes, aggravés par la menace terroriste.

Mahamane Maïga"|https://niarela.net/economie/18e-sommet-du-cilss-une-agriculture-moderne-et-maitrisee-est-une-alternative-credible-contre-la-secheresse-selon-ibrahim-boubacar-keita
Journée mondiale de la lutte contre la désertification et la sécheresse : 24 milliards de tonnes de sols fertiles se perdent chaque année dans le monde|17/06/2019|"Journée mondiale de la lutte contre la désertification et la sécheresse : 24 milliards de tonnes de sols fertiles se perdent chaque année dans le monde

Comment lutter contre les phénomènes de la désertification, voire la sécheresse ? Telle est la question que se posent de nombreuses personnes dans le monde. Dans un message publié le 17 juin, le secrétaire général de l’ONU, Antonio Guerres, s’est prononcé sur le sujet : « 24 milliards de tonnes de sols fertiles se perdent chaque année dans le monde », disait-il.

Lundi 17 juin 2019, le monde célébrait avec brio, la Journée mondiale de lutte contre la désertification et la sécheresse. Saisissant l’occasion, le secrétaire général de l’ONU, Antonio Guterres, s’est penché sur la question en ces termes. « La désertification, la dégradation des terres et la sécheresse présentent un danger pour des millions d’habitants de la planète et en particulier les femmes et les enfants », avant d’ajouter : « il y a vingt-cinq ans, 197 parties adoptaient une convention historique visant à mobiliser une action mondiale ».

Suivant le message du secrétaire général des Nations Unies, la dégradation des terres arides entraine dans les pays en voie du développement, « une réduction du produit national brut de 8% par an ». « Nous devons de toute urgence inverser ces tendances. Il nous faut protéger la terre, la restaurer et en faire un meilleur usage pour réduire la migration forcée, améliorer la sécurité alimentaire et stimuler la croissance économique », explique le Secrétaire général. Puis de poursuivre : « c’est ainsi que nous pourrons faire face à l’urgence climatique mondiale ».

En effet, le constat de ce phénomène demeure très inquiétant dans le monde en général, et particulièrement au Mali, où le déboisement qui fait sujet d’actualité est en plein essor. Au nord comme au sud du Mali, ce problème se pose partout. Jadis, si le Mali pouvait se vanter de la richesse de ses forêts, il n’en reste pratiquement rien aujourd’hui. Car, chaque jour, chaque instant et minute. La coupe abusive des bois pour des besoins domestiques en ville comme en campagne accélère la désertification en séchant nos terres fertiles. Pires, autorités et population semblent négliger le problème.

La coupe volontaire des arbres pour avoir de l’argent, contribue pleinement à l’augmentation de la canicule dont se plait tout le monde aujourd’hui. Certes les textes existent et des peines sont prévues contre ceux ou celles qui se livrent à ces pratiques de la déforestation au Mali, mais l’injustice, l’impunité, voire la complicité de ceux qui sont censés appliquer les textes font que rien ne bouge dans cette lutte.

Mamadou Diarra

Source: lepays"|https://niarela.net/societe/environnement/journee-mondiale-de-la-lutte-contre-la-desertification-et-la-secheresse-24-milliards-de-tonnes-de-sols-fertiles-se-perdent-chaque-annee-dans-le-monde
GAO : atelier de lancement des projets d’urgence de protection des enfants touchés par le conflit et la sécheresse|25/10/2018|"Un atelier de lancement des projets d’urgence de protection des enfants touchés par le conflit et la sécheresse dans les régions de Gao et de Tombouctou a démarré hier (25/10/2018). Une cinquantaine des acteurs communautaires et institutionnels, les médias et la société civile prennent part à la rencontre. Il s’agit de répondre aux besoins de protection des enfants par le conflit et la sécheresse pendant un an.

Studio tamani"|https://niarela.net/nord-mali/gao-atelier-de-lancement-des-projets-durgence-de-protection-des-enfants-touches-par-le-conflit-et-la-secheresse
Lutte contre la sécheresse : Ibrahima Boubacar Keïta pour des solutions pertinentes et innovantes|12/09/2017|"Le Comité inter-Etats de lutte contre la sécheresse au Sahel (Cilss), a célébré son anniversaire le 12 septembre 2017. Le président en exercice de la structure, Ibrahima Boubacar Keita, a envoyé un discours dans lequel il indique qu’il « est impérieux de rechercher des solutions pertinentes et innovantes » pour une meilleure utilisation des sols.

Le 44ème anniversaire de la création du Comité inter-Etats de lutte contre la sécheresse au Sahel (Cilss) créé depuis 1973 a été célébré le 12 septembre. Le président malien qui est aussi président en exercice du Cilss, a adressé un message aux pays membres.

C’est ainsi que la 32ème journée du Cilss se tient autour du thème : « Utilisation et occupation des terres, l’atlas des paysages du Sahel et de l’Afrique de l’Ouest, un outil de planification et d’aide à la décision ». Pour le président malien, ce thème occupe une place importante dans le développement agro-sylvo-pastoral dans les zones rurales. « Cette question d’utilisation et d’occupation des terres a suscité une réelle préoccupation au niveau régional. Les ministres africains ont lancé un appel, le 15 juin à Ouagadougou, en direction de la communauté internationale afin de promouvoir des partenariats pour réhabiliter 10 millions d’hectares de terres dégradées et créer 10 millions d’emplois pour les jeunes et les femmes. Ils ont demandé aux pays africains de créer les conditions nécessaires au développement de nouvelles opportunités d’emplois en identifiant les sites où l’accès à la terre peut être renforcé », explique le président en exercice du Cilss. Pour toutes ces raisons, dit-il, « il est impérieux de rechercher des solutions pertinentes et innovantes pour une prise en charge de cette question ». Ibrahima Boubacar Keita, président du Mali, salue le fait que Cilss consacre sa 32ème journée aux questions d’utilisation et d’occupation des sols pour donner des opportunités à tous les acteurs d’approfondir leurs réflexions dans la quête de solutions.

Le président en exercice du Cilss révèle aussi que la structure qu’il dirige, en partenariat avec ses partenaires tels que l’Usaid, l’Institut géologique des Etats-Unis, vient de produire un ouvrage intitulé « Atlas sur les paysages de l’Afrique de l’Ouest, une fenêtre dans un monde en pleine évolution ». Le président malien de poursuivre que cet atlas a montré qu’entre 1975 et 2013 les paysages du Sahel et de l’Afrique de l’Ouest ont subi des transformations occasionnées principalement par la forte croissance démographique et une demande grandissante pour les denrées alimentaires, l’expansion agricole étant le changement le plus spectaculaire au sein des paysages de l’Afrique de l’Ouest.

L’atlas a aussi montré que les transformations des paysages de l’Afrique de l’Ouest ne sont toujours pas catastrophiques car « nombreux sont les exemples positives comme l’augmentation de la biodiversité sur les terres agricoles, la régénération du couvert arboré, l’utilisation de techniques de préservation de l’eau et du sol pour améliorer la productivité des terres ». Selon Ibrahima Boubacar Keita, cet ouvrage constitue un outil de planification et d’aide à la décision et un véritable support de plaidoyer pour plus d’investissements dans la préservation des ressources naturelles. Il demande, en outre, aux partenaires techniques et financiers d’accompagner les institutions régionales qui œuvrent, comme le Cilss, à l’amélioration des conditions de vie des Etats membres.

O. KANDE

Source: lesoleil"|https://niarela.net/societe/environnement/lutte-contre-la-secheresse-ibrahima-boubacar-keita-pour-des-solutions-pertinentes-et-innovantes
À Kayes au Mali, la sécheresse frappe durement les habitants|05/06/2020|"Des pluies très rares

À Kayes, à 500 km au Nord-Ouest de Bamako au Mali, le manque d’eau est criant. « On ne peut même pas seulement comparer cela avec l’année dernière, il n’y a pratiquement pas eu de pluie ici depuis trois ans », raconte Tenimba Diakité dans son champs très sec. Sur ses terres, non loin des frontières sénégalaise et mauritanienne, l’agricultrice de 60 ans cultive des gombos, du maïs ou encore des oignons. Mais accroupie dans son champ, se désole. « Quand il pleut, c’est juste un peu. La culture pendant la saison des pluies ne marche même pas parce que les graines n’ont pas germé. Les légumes ne poussent pas non plus quand le sol est sec », explique-t-elle.

La pêche pour tenter de s’en sortir

Ici avant il pleuvait dès le mois de mai. Mais avec le changement climatique, les premières pluies tombent maintenant fin juin. Alors les plus jeunes se tournent aussi vers la pêche pour s’en sortir. Mais à 21 ans, les pieds dans l’eau, une cage à poissons dans les mains, le jeune Sékou Gassama ne sait pas s’il va pouvoir vivre de son activité « Nous commençons tout juste. Nous venons de mettre le poisson dans les bassins et les cages et nous attendons les résultats pour savoir ce que nous pouvons gagner chaque mois », explique le jeune homme."|https://niarela.net/economie/a-kayes-au-mali-la-secheresse-frappe-durement-les-habitants
Pluies provoquées au Mali : Un moyen de lutter contre la sécheresse|26/10/2018|"L’hôtel Olympe de Bamako a abrité le vendredi 26 octobre 2018, la cérémonie d’ouverture de l’atelier de validation de l’étude sur l’évaluation du Programme de pluies provoquées. Ledit atelier est organisé par l’Agence nationale de Météorologie (Mali-Météo) sous la direction du ministère des transports. La cérémonie d’ouverture des travaux de cet atelier était présidée par le ministre des transports, Zoumana Mory Coulibaly, en présence des responsables de l’Agence nationale de Météorologie et d’autres personnalités.

« Je voudrais rappeler que c’est en septembre 2005 que le Conseil des Ministres a adopté le programme de pluies provoquées en République du Mali. Il a pour objectif de contribuer à réduire l’impact du déficit pluviométrique sur la campagne agricole pluviale, au remplissage des bassins des barrages hydro-électriques, des cours d’eau ainsi que des points d’eau temporaires. Ce programme vient renforcer les vastes programmes d’aménagement et d’équipement hydro-agricoles, d’accès aux semences et intrants ainsi que l’assistance météorologique opérationnelle au monde rural », a déclaré le ministre des transports, Zoumana Mory Coulibaly dans son discours d’ouverture. Avant d’ajouter que le programme de pluies provoquées a démarré en 2006 dans une zone limitée à potentiel agricole élevé mais soumise à une forte variabilité pluviométrique et s’est étendu progressivement à l’ensemble du pays. A ses dires, chaque année, un rapport bilan des opérations de pluies provoquées est présenté au Gouvernement sous forme de Communication écrite. « Les résultats sur les productions agropastorales et d’énergie hydroélectrique ainsi que sur la pluviométrie ont été jugés satisfaisants. C’est pourquoi, le Gouvernement a renforcé les capacités d’intervention du Programme en le dotant de deux avions, d’une station de réception d’imageries satellitaires, de cinq radars météorologiques ainsi qu’un système de télémétrie. L’importance d’un tel Programme pour notre pays réside dans son soutien d’année en année à une économie essentiellement agropastorale, tributaire de la variabilité et des changements climatiques. Son financement sur le budget national traduit l’engagement des plus hautes autorités de notre pays à faire de l’agriculture le moteur de notre économie », a souligné le ministre. Après plus d’une décennie de mise en œuvre, Zoumana Mory Coulibaly a fait savoir qu’il est apparu nécessaire de réaliser une évaluation indépendante et exhaustive en vue d’avoir un avis partagé sur les résultats obtenus du programme des opérations de pluies provoquées de 2006 à 2016 et ses impacts socio-économiques et environnementaux. « C’est ainsi que suite à un appel d’offre international, l’évaluation du programme a été confiée au bureau d’études METEXA Consulting. C’est dans ce contexte que le présent atelier a été organisé afin de vous présenter les résultats de cette évaluation. J’espère qu’à l’issue de vos travaux, cette étude sera validée en vue de renforcer les dispositifs nationaux de gestion des ressources en eau, de lutte contre la sécheresse et d’adaptation à la variabilité et aux changements climatiques pour assurer à notre pays une croissance économique accélérée », a conclu le ministre.

Aguibou Sogodogo

Source: Le Républicain"|https://niarela.net/societe/environnement/pluies-provoquees-au-mali-un-moyen-de-lutter-contre-la-secheresse
La sécheresse au Mali pousse les éleveurs à la transhumance vers le Niger|21/05/2020|"La sécheresse au Mali pousse les éleveurs à la transhumance vers le Niger

Au Mali, bien que la saison des pluies ait commencé, le nord du pays est toujours en proie à une très forte sécheresse. Certains experts la comparent à celle de 1984, qui avait été ravageuse.

La région de Ménaka au Nord-Est du pays, fait partie des plus sinistrées. Certains éleveurs quittent Ménaka et se déplacent vers le Niger pour y trouver un peu de pâturage.

Au marché à bétails de Ménaka, une petite centaine de dromadaires, bœufs et moutons, patientent sous un soleil de plomb. D’ordinaire, ils sont des milliers.

D’après le réseau d’éleveurs Billital Maroobé, le prix du bétail dans la région a baissé de 20 à 30% cette année en raison de la sécheresse.

Cette perte pourrait atteindre 50% en période de soudure. Une situation qui affecte aussi le prix de la viande, qui risque de s’envoler d’ici quelques semaines, à l’approche de la Tabaski.

Il n’y pas assez d’eau et pas assez de fourrage. Je n’arrive pas à nourrir mes animaux comme il faut.

VivAfrik"|https://niarela.net/economie/la-secheresse-au-mali-pousse-les-eleveurs-a-la-transhumance-vers-le-niger
Sécheresse en Afrique australe : ce signal fort du changement climatique|07/06/2015|"VIDÉO. La COP25 vient de se terminer sur une note morose et l’Afrique australe voit le manque d’eau persister avec de graves conséquences économiques.

Elles ont perdu de leur superbe. Les chutes Victoria, à cheval entre le Zimbabwe et la Zambie, ne rugissent plus. Le Zambèze, qui se jette dans un canyon de 100 mètres de profondeur et qui s’étale sur un couloir de 1,7 km, a perdu la moitié de son débit, selon le ministère de l’Environnement du Zimbabwe. C’est un symbole frappant, alors que la COP25 s’achève à Madrid.

Un symbole qui rappelle que les conséquences du changement climatique ne sont pas forcément à l’horizon 2050. Chaque année, un million de touristes se rendent sur ce site classé au Patrimoine mondial de l’Unesco. Le président zambien, Edgar Lungu, évoque même la possibilité que les chutes disparaissent à terme. Chaque année au cours de la saison sèche, le débit se ralentit, mais « c’est la première fois que nous voyons ça », raconte à Reuters Dominic Nyambe, un vendeur de souvenirs installé à Livingstone, en Zambie, non loin du site.

L’Afrique australe est particulièrement affectée par le réchauffement climatique. Selon les scientifiques du Groupement d’experts intergouvernemental sur l’évolution du climat (Giec), les températures augmentent deux fois plus rapidement dans cette région que dans le monde. La saison sèche est arrivée bien plus tôt, dès le mois de juin. La sécheresse s’installe et brûle les cultures, menace la vie des habitants, des animaux et ébranle les économies. Selon les Nations unies, 45 millions de personnes auront besoin d’une aide alimentaire dans les prochains mois en Afrique australe. La prochaine récolte n’est attendue que pour avril.

Insécurité alimentaire

La situation est particulièrement préoccupante au Zimbabwe, confronté à la pire crise alimentaire depuis plus d’une décennie. À la catastrophe climatique s’ajoute un contexte économique très sombre : « une grave pénurie de devises étrangères, une inflation galopante, un chômage croissant, une pénurie de carburant, des pannes d’électricité prolongées et des pertes de bétail à grande échelle », détaille le Programme alimentaire mondial (Pam). Plus de cinq millions d’habitants en zone rurale pourraient être touchés par une pénurie alimentaire, selon l’ONU. Dans le pays voisin, en Zambie, plus de deux millions de personnes se trouvent déjà en situation d’insécurité alimentaire.

En Namibie, dans l’est du pays, l’eau n’est pas tombée depuis… deux ans ! Les autorités ont déclaré l’état de catastrophe naturelle en mai dernier. Selon les régions, c’est la pire sécheresse enregistrée depuis 60 à 90 ans. Dans ce vaste pays aride, les fermiers sont les premiers impactés. Le bétail meurt, de faim, de soif. Les pertes étaient estimées à plus de 60 000 têtes de bétail en octobre dernier, selon le ministre de l’Agriculture, Alpheus ǃNaruseb. Les bêtes survivantes, décharnées, n’ont plus de valeur marchande. Des fonds ont bien été distribués à hauteur de 131 millions de dollars namibiens (8 millions d’euros) pour les populations affectées et 16,6 millions de dollars namibiens (un million d’euros) pour le fourrage destiné au bétail. Mais cela reste insuffisant pour les fermiers et les populations autochtones.

La faune en danger

Si les hommes souffrent, les animaux sauvages sont aussi victimes de la sécheresse. Plus de 200 éléphants sont morts en moins de deux mois, selon l’Autorité zimbabwéenne de gestion de la faune sauvage et des parcs nationaux. Et ce sont les plus remarquables, leurs carcasses se voient de loin. Presque tous les animaux sont touchés – girafes, bisons, impalas –, mais aussi les oiseaux qui meurent de la sécheresse. Le Zimbabwe entend déménager d’une de ses principales réserves, Save Conservancy, plusieurs centaines d’animaux sauvages, dont des éléphants, et les reloger dans trois autres sites. Difficile à imaginer dans un pays qui manque de moyens financiers et où la sécurité alimentaire n’est pas assurée pour les populations.

En Namibie, le pays avait opté pour une autre solution : vendre un millier d’animaux sauvages aux enchères, pour limiter les pertes et récolter des fonds (environ un million d’euros attendus), afin de préserver les différentes espèces. Cette annonce faite par le ministère de l’Environnement en juin dernier reste difficile à réaliser quand les acheteurs ne se bousculent pas et qu’envoyer des éléphants libres dans des zoos à l’autre bout du monde reste aussi très discutable moralement. Ce paradis des amateurs de safaris haut de gamme est menacé. Et les revenus de ce tourisme de luxe aussi.

Restrictions d’eau

L’eau manque partout. Dans les villes aussi. L’Afrique du Sud, déjà échaudée, a mis en place fin octobre des restrictions d’eau « pour éviter le redoutable phénomène du jour zéro », a affirmé Lindiwe Sisulu, ministre de l’Habitat et de l’Eau. Les niveaux des barrages ont chuté de 10 à 60 % par rapport à 2018, selon un rapport du département des eaux. Les pluies, elles, « ne sont pas attendues avant décembre », avait-elle déclaré. En 2018, la ville du Cap avait frôlé le jour zéro, celui où l’eau du robinet est coupée. Ce n’est que grâce à des réductions drastiques et de bonnes précipitations en mai et juin, permettant aux niveaux des barrages de remonter, que le pire a été évité. En juin 2018, les autorités ont pu lever l’état de catastrophe naturelle.

Pour faire face à des siuations de pénurie qui deviennent récurrentes, le gouvernement sud-africain a lancé début décembre son Plan directeur de l’eau et de l’assainissement, avec une enveloppe prévue de 900 milliards de rands sud-africains (55 milliards d’euros) sur dix ans. Ce plan doit permettre d’améliorer le service public de l’eau potable en explorant d’autres sources d’approvisionnement et notamment le dessalement, un processus qui consiste à pomper de l’eau de mer, à la traiter par osmose inverse afin d’obtenir de l’eau potable. Malheureusement, ce procédé relativement coûteux est aussi énergivore. Il consomme une quantité importante d’électricité, or le pays est aussi victime d’importantes coupures d’électricité dues au manque d’eau dans les barrages et aux difficultés de la société nationale d’électricité Eskom.

Enfin, le traitement et la réutilisation des eaux usées, déjà pratiqués notamment pour l’irrigation, devraient être plus largement développés, pour une concurrence moins rude entre les besoins agricoles, notamment viticole dans la province du Cap, et les besoins des habitants des villes.

Par Sylvie Rantrua

Source: Le Point afrique"|https://niarela.net/afrique/secheresse-en-afrique-australe-ce-signal-fort-du-changement-climatique
Un scénario climatique prévoit une sécheresse à l’horizon 2025|08/08/2019|"Les ressources naturelles du Mali sont confrontées au problème de changement climatique. Cette situation entraîne l’augmentation globale de la température et la mauvaise répartition de la pluviométrie. Une équipe de chercheurs maliens ont mené une étude sur les conséquences futures du changement climatique au Mali. Les résultats sont alarmants.

Intitulée «Etude des perspectives de changement climatique au Mali», les résultats des travaux ont été publiés en 2004. Pourtant, ils sont toujours d’actualité. Car, les révélations du dernier rapport du Groupe d’experts intergouvernemental sur l’évolution du climat (GIEC) publié, le 08 août 2019, sont aussi très alarmantes. Il ressort que la planète se réchauffe deux fois plus vite que la moyenne mondiale. Il y a quinze ans, pourtant, des chercheurs de l’Ecole Nationale d’Ingénieurs (ENI), du Centre National de la Recherche Scientifique et Technologique (CNRST) et de la Direction Nationale de la Météorologie (DNM) alertaient sur des vagues de sécheresses qui menacent le Mali.

Pour émettre leur scénario climatique, les chercheurs ont utilisé des données de la Direction Nationale de la Météorologie du Mali. Ces données portent sur les séries disponibles depuis l’origine des stations jusqu’en 2000. Elles sont relatives: à la température minimale, à la température maximale et à la température moyenne. Ainsi, dans les localités de Bougouni, de Sikasso, de Koutiala, de Dioïla et de Yanfolila, les chercheurs prévoient une diminution nette de la pluviométrie. Aussi, la situation de sécheresse serait constatée sur la première moitié de l’hivernage (mai, juin et juillet) à partir de 2025. Pis, alarment les scientifiques maliens, la même situation pourrait s’installer dès l’horizon 2020, si la réaction du climat aux perturbations devenait plus rapide.

«Les résultats de la simulation montrent, dans toutes les localités, une diminution de la pluviométrie qui se traduirait par un déplacement des isohyètes vers le sud», rapporte l’équipe de chercheurs menée par Famouké Traoré de l’ENI. Le cas de la localité de Sikasso, indiquent les chercheurs, est une illustration de cette situation. «Par contre, partout les températures seraient à la hausse de 0,62°C à 1,55°C par rapport à la normale 19961-90», conclut-ils.

Mariama Diallo"|https://niarela.net/societe/environnement/un-scenario-climatique-prevoit-une-secheresse-a-lhorizon-2025
